txn_id,branch,city,amount,transaction_type,status,timestamp
T458200,Branch 5,Mumbai,4461.73,Deposit,Success,2025-04-03 08:19:59.013566
T317484,Branch 5,Mumbai,4196.83,Deposit,Success,2025-04-01 19:31:05.048562
T563147,,Mumbai,179.2,Deposit,Success,2025-04-01 21:12:28.533457
T821292,Branch 5,Mumbai,4155.96,Withdrawal,Failed,2025-04-03 13:00:50.200582
T209825,Branch 5,,4307.37,Failed,Failed,2025-04-02 23:05:47.373916
T813316,Branch 5,Mumbai,3089.98,Deposit,Failed,2025-04-05 13:03:15.822158
T324352,Branch 5,Mumbai,1758.15,Transfer,,2025-04-05 07:57:24.160494
T521370,Branch 5,Mumbai,,Transfer,Failed,2025-04-07 13:27:28.156188
,Branch 5,Mumbai,373.21,Deposit,Failed,2025-04-02 21:14:03.517652
T848141,Branch 5,Mumbai,765.71,Failed,Failed,2025-04-03 10:15:04.353669
T605332,Branch 5,Mumbai,2077.98,Deposit,Success,2025-04-05 07:41:18.961214
T801277,Branch 5,Mumbai,2208.45,Failed,Failed,2025-04-05 17:38:46.947918
T688728,Branch 5,Mumbai,3226.62,Transfer,Failed,2025-04-01 01:57:27.161817
T489546,Branch 5,Mumbai,3969.85,Deposit,Failed,2025-04-03 03:34:12.481689
T122597,Branch 5,Mumbai,121.16,Withdrawal,Success,2025-04-05 12:23:07.861990
T190271,Branch 5,Mumbai,950.65,,Success,2025-04-03 15:35:28.104120
T249724,Branch 5,Mumbai,,Deposit,Success,2025-04-07 00:07:27.338302
T265890,Branch 5,Mumbai,1751.07,Withdrawal,Success,2025-04-02 14:33:25.081374
T154039,Branch 5,Mumbai,1434.09,Transfer,Failed,2025-04-05 23:41:32.866456
T919073,Branch 5,Mumbai,1907.77,Transfer,Failed,2025-04-05 21:14:27.820755
T548249,Branch 5,Mumbai,1443.73,Transfer,Failed,2025-04-04 14:08:39.948723
T691105,Branch 5,Mumbai,2784.39,Transfer,,2025-04-05 08:05:56.843988
T492602,Branch 5,Mumbai,4750.84,Transfer,Success,2025-04-03 02:44:05.621913
T855462,Branch 5,Mumbai,2073.07,Failed,Failed,2025-04-04 14:11:15.533099
T545483,Branch 5,Mumbai,1290.53,Deposit,Failed,2025-04-06 02:06:03.836450
T574901,Branch 5,Mumbai,4079.51,Deposit,Success,2025-04-06 06:51:29.806563
T410984,Branch 5,,1913.64,Deposit,,2025-04-06 04:32:53.910040
T519326,Branch 5,Mumbai,2101.86,Withdrawal,Failed,2025-04-03 09:37:32.668610
T718551,Branch 5,Mumbai,2525.09,Withdrawal,Failed,2025-04-04 10:18:51.676796
T320530,Branch 5,,1940.43,Transfer,Success,2025-04-03 01:38:44.955592
T815918,Branch 5,Mumbai,3766.73,Deposit,Success,2025-04-02 00:20:01.689465
T373141,Branch 5,Mumbai,2339.02,Deposit,Success,2025-04-07 00:07:13.733685
T103258,Branch 5,Mumbai,,Transfer,Failed,2025-04-04 06:34:22.117952
T261590,Branch 5,Mumbai,580.62,Withdrawal,Failed,2025-04-05 16:45:09.273538
T560148,Branch 5,Mumbai,1168.72,,Success,2025-04-04 23:52:38.957995
T861382,Branch 5,Mumbai,4911.38,Withdrawal,Failed,2025-04-02 22:29:16.732199
T895765,,Mumbai,1012.56,Transfer,Success,2025-04-04 20:12:22.043782
T214374,Branch 5,Mumbai,1743.27,Withdrawal,Failed,2025-04-02 00:18:16.538595
T928685,Branch 5,Mumbai,4147.27,,Failed,2025-04-04 10:30:59.315261
T608747,Branch 5,Mumbai,387.63,Withdrawal,Success,2025-04-02 10:04:53.709130
T265870,Branch 5,Mumbai,4623.31,Deposit,Success,2025-04-02 04:08:05.023576
T305706,Branch 5,Mumbai,613.16,Deposit,Success,2025-04-06 14:07:40.909543
T478266,,Mumbai,3829.79,Withdrawal,Failed,2025-04-03 11:29:18.453532
T451092,Branch 5,Mumbai,1500.39,Withdrawal,,2025-04-06 12:50:49.777169
,Branch 5,,2231.19,Transfer,Success,2025-04-07 16:15:25.241124
T987399,Branch 5,Mumbai,3286.88,Deposit,,
T660622,Branch 5,Mumbai,322.54,Withdrawal,Failed,2025-04-05 19:18:50.303136
T240267,Branch 5,Mumbai,519.68,Transfer,Failed,2025-04-03 08:05:06.737376
T354815,Branch 5,Mumbai,3168.55,,Failed,2025-04-05 21:51:02.728374
T595498,Branch 5,Mumbai,267.1,Transfer,Success,2025-04-07 21:05:01.034230
T692046,Branch 5,Mumbai,1719.66,Deposit,Failed,2025-04-07 22:49:44.160106
T666787,Branch 5,Mumbai,,Deposit,Failed,2025-04-04 11:04:39.541362
T662085,Branch 5,Mumbai,2786.05,Deposit,Failed,2025-04-07 14:45:03.357807
T630657,Branch 5,Mumbai,2200.98,Transfer,Failed,2025-04-05 23:17:53.695642
T858918,Branch 5,Mumbai,2257.52,Failed,Success,2025-04-06 06:21:27.478349
T507846,Branch 5,Mumbai,2846.71,Transfer,Success,2025-04-02 12:34:21.618534
T263090,Branch 5,Mumbai,3215.19,Failed,Failed,2025-04-05 23:13:08.381311
T142278,Branch 5,Mumbai,2865.44,Transfer,Failed,
,Branch 5,Mumbai,4042.24,Withdrawal,Failed,2025-04-06 09:14:52.852550
T636831,Branch 5,Mumbai,,Failed,Failed,2025-04-06 05:40:03.701902
T477016,Branch 5,Mumbai,4453.01,Transfer,Failed,2025-04-03 16:15:37.650909
T348949,Branch 5,,4043.52,Deposit,Failed,2025-04-03 13:54:55.067124
T148336,Branch 5,Mumbai,4456.39,,Success,2025-04-04 11:14:28.660534
T412980,Branch 5,Mumbai,2948.11,,Failed,2025-04-07 00:46:35.570831
T976477,Branch 5,Mumbai,4381.67,Deposit,Success,2025-04-06 17:17:07.753222
T902735,Branch 5,Mumbai,739.86,Failed,Failed,2025-04-01 16:44:59.559103
T247516,Branch 5,Mumbai,3437.94,Transfer,Failed,2025-04-04 22:48:05.967739
T831652,Branch 5,Mumbai,1537.64,Failed,Failed,2025-04-06 07:26:13.053645
T985903,Branch 5,Mumbai,3967.36,Transfer,Failed,2025-04-01 18:53:55.269304
T263433,Branch 5,Mumbai,4345.54,Withdrawal,Success,2025-04-03 10:13:33.987860
T301876,Branch 5,Mumbai,3032.15,Deposit,Failed,2025-04-05 15:17:38.304767
T364271,Branch 5,Mumbai,4762.65,Transfer,Success,2025-04-02 21:48:11.609534
T647430,Branch 5,Mumbai,1319.31,Deposit,Failed,2025-04-04 20:08:47.058608
T975826,Branch 5,Mumbai,686.73,Withdrawal,Failed,2025-04-04 06:52:02.801004
T338594,Branch 5,Mumbai,1821.49,Deposit,Success,2025-04-02 03:22:00.058552
T997428,Branch 5,Mumbai,135.51,Deposit,Success,2025-04-03 22:10:00.112849
T106744,Branch 5,Mumbai,4271.7,Withdrawal,Failed,2025-04-03 01:42:31.045034
T397086,Branch 5,Mumbai,4948.94,Deposit,Failed,2025-04-05 17:59:43.299131
T130186,Branch 5,Mumbai,2427.95,,Success,2025-04-06 22:58:50.566291
T429711,Branch 5,Mumbai,2908.36,Deposit,Failed,2025-04-03 06:37:17.905291
T609659,Branch 5,Mumbai,2601.11,Deposit,Failed,2025-04-06 14:06:54.377385
T100660,Branch 5,Mumbai,1004.62,Transfer,Success,2025-04-06 23:59:17.350612
T384111,,Mumbai,2570.91,Failed,Failed,2025-04-01 21:01:21.424909
T672627,Branch 5,Mumbai,1982.31,Transfer,Success,2025-04-07 21:41:36.988316
T538641,Branch 5,Mumbai,4209.55,Failed,Failed,2025-04-04 07:49:25.185575
T805208,Branch 5,Mumbai,1163.8,,Success,2025-04-04 15:37:58.759205
T483285,Branch 5,Mumbai,2978.32,Transfer,Success,2025-04-01 21:43:23.209892
T201631,Branch 5,Mumbai,3513.59,Transfer,Success,2025-04-04 00:09:04.218413
,,Mumbai,1494.69,Failed,Failed,2025-04-03 13:23:08.623950
T473196,Branch 5,Mumbai,3702.83,Withdrawal,Failed,2025-04-05 01:23:44.926314
T311440,Branch 5,Mumbai,,Deposit,Failed,2025-04-02 11:14:19.871553
T178155,Branch 5,Mumbai,3211.64,Failed,Failed,2025-04-01 05:11:17.013855
T491080,Branch 5,Mumbai,4344.1,Transfer,Success,2025-04-03 10:34:43.347213
T570314,Branch 5,,2881.04,Failed,Failed,2025-04-01 19:13:23.816115
T790006,Branch 5,Mumbai,2794.95,Deposit,Success,2025-04-01 09:40:54.945081
T303951,Branch 5,Mumbai,3228.72,Deposit,Success,2025-04-04 23:07:24.654234
T543366,Branch 5,Mumbai,1824.16,Transfer,Failed,2025-04-07 01:35:40.315605
T575252,Branch 5,Mumbai,929.01,Failed,Failed,2025-04-07 13:00:15.520010
T639993,Branch 5,Mumbai,319.29,Withdrawal,Failed,2025-04-02 13:21:50.445157
T145530,Branch 5,Mumbai,4599.74,,Failed,2025-04-06 10:02:35.798655
T730058,Branch 5,Mumbai,1235.99,Withdrawal,Failed,2025-04-01 14:32:44.520819
T552525,Branch 5,Mumbai,1759.33,Deposit,Success,2025-04-05 20:57:36.965412
T227666,,Mumbai,,Failed,Failed,2025-04-02 23:20:43.721521
T589607,Branch 5,Mumbai,3811.99,Failed,Success,2025-04-01 01:02:20.388648
T230209,Branch 5,,735.1,Failed,Success,2025-04-05 20:25:45.073775
T660419,Branch 5,Mumbai,4826.44,Failed,Failed,2025-04-06 12:25:37.838700
T943412,Branch 5,Mumbai,3382.82,Failed,Failed,2025-04-05 09:58:25.850752
T690834,Branch 5,Mumbai,2926.74,Failed,Success,2025-04-06 04:51:51.653831
T758118,Branch 5,Mumbai,3041.21,Withdrawal,Failed,2025-04-07 10:40:50.786960
T858249,Branch 5,Mumbai,3252.44,Transfer,Failed,2025-04-04 22:32:28.154315
T134167,Branch 5,Mumbai,707.81,Deposit,Failed,2025-04-03 05:58:30.353426
T700911,Branch 5,Mumbai,3614.04,Transfer,Success,2025-04-03 01:55:45.287009
T851606,Branch 5,Mumbai,3008.76,Failed,Success,2025-04-05 18:43:28.523356
T851975,Branch 5,Mumbai,3651.38,Withdrawal,Success,2025-04-02 10:13:01.663511
T468364,Branch 5,Mumbai,2712.45,Deposit,Failed,2025-04-04 04:43:59.442835
T499800,Branch 5,Mumbai,3967.53,Withdrawal,Failed,2025-04-01 21:39:21.094683
,Branch 5,Mumbai,402.78,Failed,Success,2025-04-01 18:48:20.788446
T896927,Branch 5,Mumbai,3737.71,Failed,Success,2025-04-03 21:40:34.267975
T893435,Branch 5,Mumbai,2597.72,Deposit,Failed,2025-04-07 23:19:01.576205
T109213,Branch 5,Mumbai,2382.16,Deposit,Success,2025-04-01 18:58:16.533379
T528712,Branch 5,Mumbai,625.79,Failed,Success,2025-04-01 04:38:02.480884
T419519,Branch 5,Mumbai,971.7,Failed,Failed,2025-04-07 04:51:47.686824
,Branch 5,Mumbai,,Withdrawal,Success,2025-04-02 14:48:54.197880
T512361,Branch 5,Mumbai,1975.69,Failed,Failed,2025-04-04 23:15:19.079791
T680820,Branch 5,Mumbai,474.98,Failed,Failed,2025-04-05 00:45:13.139718
T938385,Branch 5,Mumbai,4601.43,,Success,2025-04-06 02:43:34.570837
T140841,Branch 5,Mumbai,2326.56,Transfer,Failed,2025-04-07 18:54:30.553031
,Branch 5,Mumbai,880.74,Transfer,Success,
T897194,Branch 5,Mumbai,,Deposit,Success,2025-04-06 03:28:59.745257
T204088,Branch 5,Mumbai,3094.61,Withdrawal,Success,2025-04-06 23:10:41.303418
,Branch 5,Mumbai,3720.3,,Failed,2025-04-02 21:24:55.409356
T129639,Branch 5,Mumbai,3610.05,Withdrawal,Success,2025-04-01 17:50:39.193563
T281473,Branch 5,Mumbai,1692.33,Deposit,Success,
,Branch 5,,1547.47,Deposit,Success,2025-04-01 14:19:53.922718
,Branch 5,Mumbai,543.13,Transfer,Failed,2025-04-07 19:10:43.748689
T359590,Branch 5,Mumbai,454.54,Transfer,Success,2025-04-07 15:56:56.898997
T335262,Branch 5,Mumbai,1103.41,Deposit,Failed,2025-04-04 18:35:06.251098
T291732,Branch 5,Mumbai,1540.24,Deposit,,2025-04-03 08:46:05.942597
T526581,Branch 5,Mumbai,,Withdrawal,Success,2025-04-02 01:21:26.808775
T347728,Branch 5,Mumbai,262.64,Failed,Success,2025-04-01 01:16:59.176140
T505135,Branch 5,Mumbai,1847.71,Transfer,Failed,2025-04-06 10:00:14.666279
T365290,Branch 5,Mumbai,4600.18,Failed,Failed,2025-04-03 15:29:09.986875
T325936,Branch 5,Mumbai,3909.89,Deposit,Failed,
T769572,Branch 5,Mumbai,3782.78,Withdrawal,Failed,2025-04-01 04:49:13.362204
T953758,Branch 5,Mumbai,3609.92,Transfer,Failed,2025-04-07 16:17:37.152649
T168191,Branch 5,Mumbai,3807.24,Deposit,Failed,2025-04-04 16:39:33.515514
T199932,Branch 5,Mumbai,1754.0,Deposit,Success,2025-04-03 14:46:01.307467
T460358,Branch 5,Mumbai,3935.34,Withdrawal,Success,2025-04-02 16:01:40.143996
T399099,Branch 5,Mumbai,,Withdrawal,Success,2025-04-02 20:16:10.131865
T684405,Branch 5,Mumbai,,Failed,Failed,2025-04-01 06:07:08.065256
T497962,Branch 5,Mumbai,2392.47,Transfer,Failed,2025-04-02 18:09:36.212631
T560557,Branch 5,Mumbai,1931.65,Withdrawal,Failed,2025-04-05 23:21:25.093345
T803725,Branch 5,Mumbai,,Transfer,Success,2025-04-03 12:44:46.745384
,Branch 5,Mumbai,3932.23,Withdrawal,Failed,2025-04-01 03:06:54.392902
T237008,Branch 5,Mumbai,,Transfer,Failed,2025-04-07 21:59:59.085196
T628531,Branch 5,Mumbai,2533.2,Failed,Success,2025-04-04 21:58:23.454594
T818860,Branch 5,Mumbai,1268.47,Deposit,Failed,2025-04-07 21:16:40.600826
T642000,Branch 5,Mumbai,4777.49,Withdrawal,,2025-04-06 20:36:03.190071
T125977,Branch 5,Mumbai,4360.43,Withdrawal,Failed,2025-04-07 05:55:33.992582
,Branch 5,Mumbai,4049.07,Transfer,Success,2025-04-05 20:38:23.628546
T855222,Branch 5,Mumbai,2404.29,Deposit,Failed,2025-04-05 23:49:15.900067
T452619,Branch 5,Mumbai,4079.34,Withdrawal,Failed,2025-04-05 12:58:59.600679
,Branch 5,Mumbai,3529.17,Transfer,Success,
T140449,Branch 5,Mumbai,3905.71,Deposit,Success,2025-04-04 11:26:28.592237
T316222,,Mumbai,2337.34,Deposit,Failed,2025-04-05 07:57:12.194041
T621068,Branch 5,Mumbai,3833.83,Deposit,Success,2025-04-06 12:49:47.067655
T450191,Branch 5,Mumbai,,,Success,2025-04-07 08:22:37.353748
T270157,Branch 5,Mumbai,3012.07,Withdrawal,Success,2025-04-04 23:05:48.040966
T783578,Branch 5,Mumbai,1938.03,Withdrawal,Failed,2025-04-01 18:10:29.227269
T572867,Branch 5,Mumbai,2014.77,Withdrawal,Success,2025-04-04 23:14:39.868499
T158828,Branch 5,Mumbai,,Deposit,,2025-04-06 21:44:50.815824
T236537,Branch 5,Mumbai,,Withdrawal,Failed,2025-04-04 12:00:04.067622
T663482,Branch 5,Mumbai,4621.72,Failed,Failed,2025-04-02 01:07:46.037511
T647276,Branch 5,Mumbai,2976.47,Transfer,Failed,2025-04-07 05:38:29.182632
T895142,Branch 5,Mumbai,388.25,Transfer,Failed,2025-04-06 23:09:46.339899
T879688,Branch 5,Mumbai,969.88,Deposit,Success,2025-04-07 08:21:46.558838
,Branch 5,Mumbai,2025.37,,Success,2025-04-02 19:46:53.910206
T243346,Branch 5,Mumbai,163.49,Deposit,Failed,2025-04-05 16:16:33.577462
T665571,Branch 5,Mumbai,1530.55,,,2025-04-04 06:27:01.514454
T499686,Branch 5,Mumbai,637.04,Failed,,2025-04-01 09:02:27.541232
T929875,Branch 5,Mumbai,,Failed,Failed,2025-04-03 08:37:37.893579
T383007,Branch 5,Mumbai,2174.79,Failed,Failed,
T770052,Branch 5,Mumbai,4790.08,Withdrawal,Failed,2025-04-07 20:31:16.128374
T366440,Branch 5,Mumbai,4475.9,Withdrawal,Failed,2025-04-05 22:35:15.239650
T515755,Branch 5,Mumbai,4421.46,Deposit,Success,2025-04-01 12:58:39.788414
T411871,Branch 5,Mumbai,1955.57,Transfer,Success,2025-04-02 12:39:01.951943
T962367,Branch 5,Mumbai,,Transfer,Success,2025-04-01 09:01:45.705794
T633160,Branch 5,Mumbai,4916.48,Deposit,Failed,2025-04-05 01:46:15.976031
T680658,Branch 5,Mumbai,3546.77,,Failed,2025-04-07 11:24:22.092528
T842223,Branch 5,Mumbai,1352.9,,Success,2025-04-03 14:00:17.395446
T980943,Branch 5,Mumbai,4915.07,Failed,Success,2025-04-01 13:30:45.444142
T318040,Branch 5,Mumbai,1400.61,Transfer,Failed,2025-04-02 14:44:10.408161
,Branch 5,,563.34,Transfer,Success,2025-04-05 02:41:17.235222
T440913,Branch 5,Mumbai,1273.64,Deposit,Failed,2025-04-04 06:59:48.955269
T675421,Branch 5,Mumbai,,Withdrawal,Failed,2025-04-04 12:09:24.332690
,Branch 5,Mumbai,1306.77,,Success,2025-04-01 18:45:25.622417
T956258,Branch 5,Mumbai,,,Success,2025-04-07 15:05:25.752132
,Branch 5,Mumbai,736.46,Failed,Success,2025-04-01 03:00:02.621437
T220947,Branch 5,Mumbai,2175.25,Deposit,Failed,2025-04-04 02:05:38.007976
T741382,Branch 5,Mumbai,4838.96,Failed,Failed,2025-04-04 14:21:53.150107
T459396,Branch 5,Mumbai,2086.22,Failed,Success,2025-04-04 02:48:01.226878
T676459,Branch 5,Mumbai,1948.07,Deposit,,2025-04-06 03:50:34.414395
T392279,Branch 5,Mumbai,4209.94,Deposit,Failed,2025-04-03 14:55:49.039919
,Branch 5,Mumbai,2933.52,Withdrawal,Success,2025-04-06 00:06:09.001507
T285664,Branch 5,Mumbai,3574.47,Withdrawal,Success,2025-04-04 20:49:26.382622
T965488,Branch 5,Mumbai,1203.41,Deposit,Success,2025-04-05 08:31:00.255440
T654875,Branch 5,Mumbai,2966.09,,Failed,2025-04-03 05:07:55.000371
T761266,Branch 5,Mumbai,3141.81,Failed,Success,2025-04-05 23:41:08.634634
,Branch 5,Mumbai,539.24,Withdrawal,Failed,2025-04-03 08:33:11.595407
T613523,Branch 5,Mumbai,3864.54,Withdrawal,Failed,2025-04-02 05:20:17.963475
T146965,Branch 5,Mumbai,3506.78,Transfer,Success,2025-04-01 03:37:19.924790
T251284,Branch 5,Mumbai,3543.66,Transfer,Failed,2025-04-06 00:34:18.629014
T450124,Branch 5,Mumbai,2392.97,Transfer,Failed,2025-04-01 23:09:39.488752
T345688,Branch 5,Mumbai,3093.94,Deposit,Failed,2025-04-07 09:08:44.300710
T572916,Branch 5,Mumbai,2382.5,Deposit,Success,2025-04-01 03:16:27.574067
T321807,Branch 5,Mumbai,1697.37,Failed,Success,
T271346,Branch 5,Mumbai,1151.38,Deposit,Success,2025-04-02 00:25:45.655717
T833826,Branch 5,Mumbai,211.78,Transfer,Failed,2025-04-03 03:32:35.196797
T172750,Branch 5,Mumbai,4893.3,,Success,2025-04-02 20:21:26.493585
T758783,Branch 5,Mumbai,,Failed,,2025-04-02 18:54:04.494380
T857879,Branch 5,Mumbai,1332.36,Transfer,Failed,2025-04-05 06:48:47.542916
T826873,,Mumbai,4563.06,Withdrawal,Failed,2025-04-05 23:39:25.237902
T483033,Branch 5,Mumbai,3543.71,Failed,,2025-04-03 03:48:41.570129
T614979,Branch 5,Mumbai,2801.48,Failed,Success,2025-04-06 04:29:44.393895
T361568,Branch 5,Mumbai,1816.37,Failed,Failed,2025-04-07 05:03:54.696873
T567886,Branch 5,Mumbai,1872.63,Transfer,Success,2025-04-05 17:06:01.448991
T872135,Branch 5,Mumbai,2875.79,Transfer,Failed,2025-04-03 11:05:27.893434
T457357,Branch 5,Mumbai,641.64,Withdrawal,Success,2025-04-01 11:08:12.898293
T106132,Branch 5,Mumbai,1576.14,Deposit,Failed,2025-04-01 18:49:00.031310
T424691,Branch 5,Mumbai,3865.07,Transfer,Failed,2025-04-04 11:52:36.497001
T117357,Branch 5,Mumbai,3050.07,Deposit,Failed,2025-04-04 03:38:51.633166
,Branch 5,Mumbai,1636.68,Failed,Failed,2025-04-01 08:52:56.672436
T957418,Branch 5,Mumbai,1848.0,Failed,Success,2025-04-04 16:06:03.873962
T621854,Branch 5,Mumbai,4127.1,Withdrawal,Failed,2025-04-02 20:29:41.561558
T389763,Branch 5,Mumbai,3526.3,Failed,Success,2025-04-06 07:40:44.656913
T642267,Branch 5,Mumbai,2470.78,,Success,2025-04-01 08:12:38.246384
T933453,,Mumbai,3432.3,Transfer,Success,2025-04-01 19:25:49.773638
T305248,Branch 5,Mumbai,3594.39,Withdrawal,Failed,2025-04-05 15:33:20.734054
T456140,Branch 5,Mumbai,3333.43,Failed,Failed,2025-04-01 00:15:45.618309
T711325,Branch 5,Mumbai,900.68,,Failed,2025-04-01 21:22:07.931405
T209986,Branch 5,Mumbai,344.91,Deposit,Success,2025-04-02 13:03:46.855688
T430471,Branch 5,Mumbai,3209.85,Transfer,Success,2025-04-07 10:33:44.707147
,Branch 5,Mumbai,1219.41,Withdrawal,Failed,2025-04-01 20:12:43.814888
,Branch 5,Mumbai,4919.26,Transfer,Success,2025-04-05 12:32:05.666471
T680374,Branch 5,Mumbai,2750.91,,Success,2025-04-01 02:03:21.402277
T540344,Branch 5,Mumbai,4481.17,Transfer,Failed,2025-04-03 14:13:24.668590
T139554,Branch 5,Mumbai,4362.49,,Failed,2025-04-05 05:00:10.528913
,Branch 5,Mumbai,4985.49,,Failed,2025-04-05 20:59:53.168880
,Branch 5,Mumbai,924.46,Transfer,Success,2025-04-07 04:01:47.935707
T594575,Branch 5,Mumbai,3778.65,Transfer,Failed,2025-04-07 16:13:52.351866
T599263,Branch 5,Mumbai,846.12,Failed,Success,2025-04-01 14:00:43.717347
,Branch 5,Mumbai,185.13,Failed,Failed,2025-04-01 04:09:31.592982
T335773,Branch 5,Mumbai,2597.05,Withdrawal,Success,2025-04-06 00:35:52.109596
,Branch 5,Mumbai,816.29,Withdrawal,Failed,2025-04-02 06:40:59.381087
